id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
139;MFH;1952;2;0;0;165;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;23149.500000000004
140;MFH;1955;2;0;0;784;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;109995.20000000001
141;MFH;1999;2;0;0;414;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;37715.399999999994
142;MFH;1911;2;0;0;2674;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;360829.3170666666
143;MFH;2010;2;0;0;4039;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;284929.93399999995
144;MFH;1997;2;0;0;82;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;7470.2
145;MFH;1960;2;0;0;2781;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;321205.5
146;MFH;2003;2;0;0;1710;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;99180.0
147;MFH;1957;2;0;0;2763;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;387648.9
148;MFH;2017;2;0;0;8543;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;462394.0755
149;MFH;1962;2;0;0;3258;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;312346.3567333334
150;MFH;1911;2;0;0;3136;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;226810.9145
151;MFH;1947;2;0;0;2755;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;416831.50000000006
152;MFH;1927;2;0;0;1398;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;302309.07479999994
153;MFH;1965;2;0;0;669;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;77269.5
154;MFH;1913;2;0;0;2644;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;347686.0
155;MFH;1957;2;0;0;1674;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;193422.51373333333
