scenario;category;metric;device;year;value;unit
rural;power_profile_by_year;power_kW;WAT;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;HP;19;396526.736;kWh
rural;power_profile_by_year;power_kW;HP;19;108;kW
rural;power_profile_by_year;power_profile_energy_kwh;EB;19;0.0;kWh
rural;power_profile_by_year;power_kW;EB;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CC;19;0.0;kWh
rural;power_profile_by_year;power_kW;CC;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;CHP;19;0.0;kWh
rural;power_profile_by_year;power_kW;CHP;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;BCHP;19;175182.316;kWh
rural;power_profile_by_year;power_kW;BCHP;19;91;kW
rural;power_profile_by_year;power_profile_energy_kwh;WCHP;19;0.0;kWh
rural;power_profile_by_year;power_kW;WCHP;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;ELYZ;19;0.0;kWh
rural;power_profile_by_year;power_kW;ELYZ;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;FC;19;0.0;kWh
rural;power_profile_by_year;power_kW;FC;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_grid;19;462366.913;kWh
rural;power_profile_by_year;power_kW;from_grid;19;209;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_grid;19;340112.968;kWh
rural;power_profile_by_year;power_kW;to_grid;19;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_main_grid;19;462366.913;kWh
rural;power_profile_by_year;power_kW;from_main_grid;19;209;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_main_grid;19;340112.968;kWh
rural;power_profile_by_year;power_kW;to_main_grid;19;394;kW
rural;power_profile_by_year;power_profile_energy_kwh;from_network;19;0.0;kWh
rural;power_profile_by_year;power_kW;from_network;19;0;kW
rural;power_profile_by_year;power_profile_energy_kwh;to_network;19;0.0;kWh
rural;power_profile_by_year;power_kW;to_network;19;0;kW
rural;yearly_totals;from_el_grid_total;;0;287;MWh
rural;yearly_totals;from_el_grid_total;;5;287;MWh
