scenario;category;metric;device;year;value;unit
ghd6;power_profile_devs_by_year;power_kW;to_main_grid;0;2811;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_network;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;from_network;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_network;0;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;to_network;0;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;PV;5;4182094.807;kWh
ghd6;power_profile_devs_by_year;power_kW;PV;5;3155;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WT;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WT;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WAT;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WAT;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;HP;5;1189692.532;kWh
ghd6;power_profile_devs_by_year;power_kW;HP;5;419;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;EB;5;39510.309;kWh
ghd6;power_profile_devs_by_year;power_kW;EB;5;258;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CC;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CC;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CHP;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CHP;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;BCHP;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;BCHP;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WCHP;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WCHP;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;ELYZ;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;ELYZ;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;FC;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;FC;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_grid;5;2192918.899;kWh
ghd6;power_profile_devs_by_year;power_kW;from_grid;5;955;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_grid;5;2869792.233;kWh
ghd6;power_profile_devs_by_year;power_kW;to_grid;5;2812;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_main_grid;5;2192918.899;kWh
ghd6;power_profile_devs_by_year;power_kW;from_main_grid;5;955;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_main_grid;5;2869792.233;kWh
ghd6;power_profile_devs_by_year;power_kW;to_main_grid;5;2812;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_network;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;from_network;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_network;5;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;to_network;5;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;PV;10;4182094.807;kWh
ghd6;power_profile_devs_by_year;power_kW;PV;10;3155;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WT;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WT;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WAT;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WAT;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;HP;10;1099569.532;kWh
ghd6;power_profile_devs_by_year;power_kW;HP;10;419;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;EB;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;EB;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CC;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CC;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CHP;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CHP;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;BCHP;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;BCHP;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WCHP;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WCHP;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;ELYZ;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;ELYZ;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;FC;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;FC;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_grid;10;2071374.57;kWh
ghd6;power_profile_devs_by_year;power_kW;from_grid;10;865;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_grid;10;2877881.214;kWh
ghd6;power_profile_devs_by_year;power_kW;to_grid;10;2813;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_main_grid;10;2071374.57;kWh
ghd6;power_profile_devs_by_year;power_kW;from_main_grid;10;865;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_main_grid;10;2877881.214;kWh
ghd6;power_profile_devs_by_year;power_kW;to_main_grid;10;2813;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;from_network;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;from_network;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;to_network;10;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;to_network;10;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;PV;15;4182094.807;kWh
ghd6;power_profile_devs_by_year;power_kW;PV;15;3155;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WT;15;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WT;15;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;WAT;15;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;WAT;15;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;HP;15;1007572.073;kWh
ghd6;power_profile_devs_by_year;power_kW;HP;15;412;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;EB;15;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;EB;15;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CC;15;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CC;15;0;kW
ghd6;power_profile_devs_by_year;power_profile_energy_kwh;CHP;15;0.0;kWh
ghd6;power_profile_devs_by_year;power_kW;CHP;15;0;kW
