Support_Year;Cluster;Timestep;Power_Demand_kW
0;3;155;54.772
0;3;156;55.049
0;3;157;67.896
0;3;158;71.658
0;3;159;82.598
0;3;160;81.895
0;3;161;66.235
0;3;162;73.484
0;3;163;83.247
0;3;164;70.296
0;3;165;75.095
0;3;166;71.442
0;3;167;48.858
5;0;0;16.917
5;0;1;20.252
5;0;2;20.233
5;0;3;21.322
5;0;4;18.806
5;0;5;20.756
5;0;6;25.416
5;0;7;61.582
5;0;8;58.982
5;0;9;52.5
5;0;10;48.088
5;0;11;43.522
5;0;12;49.385
5;0;13;52.0
5;0;14;60.819
5;0;15;50.338
5;0;16;51.659
5;0;17;70.634
5;0;18;73.924
5;0;19;73.206
5;0;20;83.508
5;0;21;63.241
5;0;22;51.868
5;0;23;44.369
5;0;24;16.85
5;0;25;18.334
5;0;26;19.988
5;0;27;19.67
5;0;28;18.562
5;0;29;20.173
5;0;30;23.287
5;0;31;61.958
5;0;32;65.764
5;0;33;52.36
5;0;34;52.567
5;0;35;47.295
5;0;36;42.366
5;0;37;51.243
5;0;38;51.218
5;0;39;53.353
5;0;40;57.102
5;0;41;57.079
5;0;42;61.974
5;0;43;74.16
5;0;44;71.647
5;0;45;58.305
5;0;46;65.383
5;0;47;46.733
5;0;48;17.282
5;0;49;19.915
5;0;50;19.197
5;0;51;18.749
5;0;52;19.09
5;0;53;20.694
5;0;54;23.065
5;0;55;60.294
5;0;56;63.73
5;0;57;51.505
5;0;58;48.399
5;0;59;41.674
5;0;60;41.584
5;0;61;47.117
5;0;62;49.054
5;0;63;47.918
5;0;64;57.25
5;0;65;70.428
5;0;66;84.017
5;0;67;88.679
5;0;68;71.117
5;0;69;77.293
5;0;70;57.741
5;0;71;43.434
5;0;72;16.68
5;0;73;18.497
5;0;74;18.753
5;0;75;19.291
5;0;76;18.646
5;0;77;19.385
5;0;78;21.275
5;0;79;23.975
5;0;80;38.687
5;0;81;35.583
5;0;82;40.063
5;0;83;40.237
5;0;84;46.263
5;0;85;36.957
5;0;86;41.332
5;0;87;30.673
5;0;88;33.745
5;0;89;38.165
5;0;90;53.996
5;0;91;66.306
5;0;92;86.208
5;0;93;67.065
5;0;94;67.394
5;0;95;47.262
5;0;96;16.928
5;0;97;23.989
5;0;98;17.948
5;0;99;18.371
5;0;100;19.023
5;0;101;19.237
5;0;102;20.112
5;0;103;57.712
5;0;104;67.911
5;0;105;47.477
5;0;106;54.912
5;0;107;64.118
5;0;108;53.382
5;0;109;50.888
5;0;110;53.597
5;0;111;49.389
5;0;112;69.74
5;0;113;72.969
5;0;114;82.471
5;0;115;83.674
5;0;116;82.816
5;0;117;75.133
5;0;118;67.236
5;0;119;40.051
5;0;120;18.89
5;0;121;21.302
5;0;122;19.23
5;0;123;19.221
5;0;124;17.906
5;0;125;18.701
5;0;126;21.776
5;0;127;61.177
5;0;128;68.58
5;0;129;49.433
5;0;130;50.955
5;0;131;46.573
5;0;132;47.952
5;0;133;61.175
5;0;134;58.734
5;0;135;48.127
5;0;136;49.306
5;0;137;60.065
5;0;138;78.816
5;0;139;70.461
5;0;140;73.079
5;0;141;56.957
5;0;142;70.845
5;0;143;40.193
5;0;144;16.649
5;0;145;20.916
5;0;146;19.2
5;0;147;19.012
5;0;148;19.016
5;0;149;18.933
5;0;150;22.165
5;0;151;58.021
