Support_Year;Cluster;Timestep;Power_Demand_kW
0;1;54;197.909
0;1;55;455.684
0;1;56;396.523
0;1;57;408.931
0;1;58;412.211
0;1;59;410.778
0;1;60;401.028
0;1;61;411.208
0;1;62;417.873
0;1;63;396.004
0;1;64;398.046
0;1;65;381.54
0;1;66;400.37
0;1;67;591.535
0;1;68;440.053
0;1;69;262.626
0;1;70;234.005
0;1;71;222.863
0;1;72;188.338
0;1;73;188.667
0;1;74;189.758
0;1;75;191.082
0;1;76;189.664
0;1;77;189.379
0;1;78;193.04
0;1;79;173.275
0;1;80;176.495
0;1;81;178.104
0;1;82;190.161
0;1;83;194.651
0;1;84;187.616
0;1;85;185.038
0;1;86;191.147
0;1;87;182.273
0;1;88;180.591
0;1;89;173.662
0;1;90;184.417
0;1;91;268.592
0;1;92;272.341
0;1;93;265.202
0;1;94;244.598
0;1;95;225.83
0;1;96;188.953
0;1;97;188.532
0;1;98;190.977
0;1;99;191.407
0;1;100;188.62
0;1;101;193.462
0;1;102;195.474
0;1;103;443.77
0;1;104;440.631
0;1;105;449.235
0;1;106;482.622
0;1;107;474.62
0;1;108;447.161
0;1;109;463.975
0;1;110;490.447
0;1;111;450.771
0;1;112;443.748
0;1;113;413.047
0;1;114;388.743
0;1;115;576.082
0;1;116;452.229
0;1;117;265.646
0;1;118;243.333
0;1;119;226.507
0;1;120;188.674
0;1;121;192.232
0;1;122;190.656
0;1;123;189.705
0;1;124;190.305
0;1;125;188.318
0;1;126;199.037
0;1;127;501.435
0;1;128;432.114
0;1;129;453.113
0;1;130;476.695
0;1;131;467.725
0;1;132;453.255
0;1;133;450.24
0;1;134;486.035
0;1;135;464.852
0;1;136;449.683
0;1;137;399.615
0;1;138;397.754
0;1;139;573.887
0;1;140;445.292
0;1;141;257.961
0;1;142;255.944
0;1;143;227.163
0;1;144;189.512
0;1;145;189.388
0;1;146;190.951
0;1;147;190.123
0;1;148;192.69
0;1;149;195.345
0;1;150;192.912
0;1;151;456.852
0;1;152;436.274
0;1;153;459.699
0;1;154;475.81
0;1;155;473.226
0;1;156;456.879
0;1;157;462.962
0;1;158;475.114
0;1;159;449.807
0;1;160;447.524
0;1;161;415.743
0;1;162;391.742
0;1;163;582.88
0;1;164;450.707
0;1;165;271.762
0;1;166;245.603
0;1;167;232.976
0;2;0;188.049
0;2;1;187.259
0;2;2;187.181
0;2;3;188.082
0;2;4;189.4
0;2;5;192.081
0;2;6;199.255
0;2;7;547.81
0;2;8;439.732
0;2;9;452.514
0;2;10;484.573
0;2;11;475.339
0;2;12;446.827
0;2;13;456.664
0;2;14;488.24
0;2;15;463.808
0;2;16;431.647
0;2;17;397.324
0;2;18;512.07
0;2;19;590.743
0;2;20;448.184
0;2;21;258.475
0;2;22;248.125
0;2;23;225.665
0;2;24;186.059
0;2;25;190.895
0;2;26;187.081
0;2;27;186.614
0;2;28;189.308
0;2;29;189.549
0;2;30;195.882
0;2;31;552.954
0;2;32;454.323
0;2;33;460.069
0;2;34;476.312
0;2;35;469.172
0;2;36;455.437
0;2;37;456.513
0;2;38;469.945
0;2;39;450.097
0;2;40;443.575
0;2;41;419.441
0;2;42;544.46
0;2;43;592.862
0;2;44;433.705
0;2;45;265.229
0;2;46;253.782
0;2;47;220.402
0;2;48;187.675
0;2;49;190.838
0;2;50;189.438
0;2;51;186.989
0;2;52;189.989
0;2;53;189.873
0;2;54;200.614
0;2;55;536.74
0;2;56;510.672
0;2;57;404.609
0;2;58;445.091
0;2;59;410.689
0;2;60;396.996
0;2;61;408.261
0;2;62;405.361
0;2;63;405.774
0;2;64;422.461
0;2;65;476.631
0;2;66;563.612
0;2;67;588.831
0;2;68;443.459
0;2;69;261.882
0;2;70;250.242
0;2;71;229.948
0;2;72;188.263
0;2;73;188.62
0;2;74;188.487
0;2;75;189.854
0;2;76;192.232
0;2;77;192.784
0;2;78;194.213
0;2;79;204.786
0;2;80;173.475
0;2;81;182.638
0;2;82;189.649
0;2;83;188.875
0;2;84;187.105
0;2;85;191.545
0;2;86;191.741
0;2;87;186.974
0;2;88;175.98
