Support_Year;Cluster;Timestep;HP;EB
5;0;81;0.0;0.0
5;0;82;285.457;0.0
5;0;83;935.997;0.0
5;0;84;1118.152;0.0
5;0;85;1118.152;0.0
5;0;86;519.386;0.0
5;0;87;1118.152;0.0
5;0;88;1118.152;0.0
5;0;89;1118.152;0.0
5;0;90;863.351;0.0
5;0;91;1118.152;0.0
5;0;92;1118.152;0.0
5;0;93;1118.152;0.0
5;0;94;1118.152;0.0
5;0;95;1118.152;0.0
5;0;96;1118.152;0.0
5;0;97;1118.152;0.0
5;0;98;1118.152;0.0
5;0;99;1118.152;0.0
5;0;100;1118.152;0.0
5;0;101;1118.152;0.0
5;0;102;1118.152;0.0
5;0;103;1118.152;0.0
5;0;104;1118.152;0.0
5;0;105;1118.152;0.0
5;0;106;1118.152;0.0
5;0;107;1118.152;0.0
5;0;108;1118.152;0.0
5;0;109;1118.152;0.0
5;0;110;1118.152;0.0
5;0;111;1118.152;0.0
5;0;112;1118.152;0.0
5;0;113;1118.152;0.0
5;0;114;1118.152;0.0
5;0;115;1118.152;0.0
5;0;116;1118.152;0.0
5;0;117;1118.152;0.0
5;0;118;1118.152;0.0
5;0;119;1118.152;0.0
5;0;120;1118.152;0.0
5;0;121;1118.152;0.0
5;0;122;1118.152;0.0
5;0;123;1118.152;0.0
5;0;124;1118.152;0.0
5;0;125;1118.152;0.0
5;0;126;1118.152;0.0
5;0;127;1114.007;0.0
5;0;128;1023.875;0.0
5;0;129;1118.152;0.0
5;0;130;1118.152;0.0
5;0;131;658.37;0.0
5;0;132;904.077;0.0
5;0;133;827.385;0.0
5;0;134;788.979;0.0
5;0;135;1118.152;0.0
5;0;136;1118.152;0.0
5;0;137;1118.152;0.0
5;0;138;1118.152;0.0
5;0;139;1118.152;0.0
5;0;140;1118.152;0.0
5;0;141;1118.152;0.0
5;0;142;338.77;0.0
5;0;143;1118.152;0.0
5;0;144;1118.152;0.0
5;0;145;1118.152;0.0
5;0;146;1118.152;0.0
