Support_Year;Cluster;Timestep;Heat_Demand_kW
0;3;15;950.926
0;3;16;923.72
0;3;17;946.17
0;3;18;1045.577
0;3;19;1101.348
0;3;20;1124.879
0;3;21;1140.078
0;3;22;1085.264
0;3;23;1130.387
0;3;24;1214.607
0;3;25;1251.424
0;3;26;1279.39
0;3;27;1299.905
0;3;28;1326.961
0;3;29;1345.762
0;3;30;1503.463
0;3;31;1527.831
0;3;32;1377.315
0;3;33;1372.424
0;3;34;1312.533
0;3;35;1275.697
0;3;36;1277.952
0;3;37;1181.137
0;3;38;1175.743
0;3;39;1181.213
0;3;40;1175.496
0;3;41;1204.648
0;3;42;1286.876
0;3;43;1277.687
0;3;44;1303.229
0;3;45;1278.603
0;3;46;1167.875
0;3;47;1161.516
0;3;48;1071.768
0;3;49;1039.777
0;3;50;1012.771
0;3;51;993.268
0;3;52;985.342
0;3;53;977.649
0;3;54;963.363
0;3;55;1227.158
0;3;56;1218.052
0;3;57;1002.741
0;3;58;998.725
0;3;59;978.621
0;3;60;963.915
0;3;61;897.462
0;3;62;840.983
0;3;63;912.446
0;3;64;910.805
0;3;65;777.969
0;3;66;790.3
0;3;67;809.223
0;3;68;892.031
0;3;69;920.825
0;3;70;931.241
0;3;71;891.691
0;3;72;940.265
0;3;73;943.192
0;3;74;963.188
0;3;75;987.456
0;3;76;995.213
0;3;77;999.91
0;3;78;1004.588
0;3;79;1277.252
0;3;80;1291.515
0;3;81;1053.626
0;3;82;1048.585
0;3;83;1047.851
0;3;84;1027.558
0;3;85;979.963
0;3;86;959.236
0;3;87;1050.276
0;3;88;1042.793
0;3;89;923.852
0;3;90;967.185
0;3;91;1009.374
0;3;92;1104.236
0;3;93;1128.509
0;3;94;1156.149
0;3;95;1123.459
0;3;96;1321.394
0;3;97;1348.309
0;3;98;1375.147
0;3;99;1395.45
0;3;100;1396.822
0;3;101;1385.998
0;3;102;1534.198
0;3;103;1521.54
0;3;104;1357.499
0;3;105;1331.849
0;3;106;1327.788
0;3;107;1329.967
0;3;108;1390.675
0;3;109;1298.044
0;3;110;1278.118
0;3;111;1261.224
0;3;112;1247.059
0;3;113;1232.162
0;3;114;1329.74
0;3;115;1313.414
0;3;116;1302.071
0;3;117;1291.393
0;3;118;1175.476
0;3;119;1198.915
0;3;120;1244.342
0;3;121;1247.733
0;3;122;1276.132
0;3;123;1305.074
0;3;124;1346.045
0;3;125;1381.436
0;3;126;1535.447
0;3;127;1552.931
0;3;128;1414.299
0;3;129;1409.277
0;3;130;1360.214
0;3;131;1331.391
0;3;132;1358.766
0;3;133;1237.848
0;3;134;1223.893
0;3;135;1228.753
0;3;136;1215.615
0;3;137;1231.185
0;3;138;1332.983
0;3;139;1345.117
0;3;140;1373.883
0;3;141;1356.592
0;3;142;1289.838
0;3;143;1329.67
0;3;144;1357.642
0;3;145;1377.017
0;3;146;1386.833
0;3;147;1414.836
0;3;148;1419.062
0;3;149;1433.59
0;3;150;1571.865
